alpha,beta,gamma,mAP@20,NDCG@20
1,1,0.5,0.23085714285714287,0.054571428571428576
0.5,0.5,0.5,0.26171428571428573,0.05628571428571429
1,0.5,0,0.06171428571428572,0.026000000000000006
