alpha,beta,gamma,mAP@20,NDCG@20
1,1,0.5,0.024285714285714285,0.01685714285714286
0.5,0.5,0.5,0.024,0.017142857142857144
1,0.5,0,0.024285714285714285,0.016571428571428574
